,date,price
630,2017-07-19,9899.6
631,2017-07-20,9873.3
632,2017-07-21,9915.25
633,2017-07-24,9966.4
634,2017-07-25,9964.55
635,2017-07-26,10020.65
636,2017-07-27,10020.55
637,2017-07-28,10014.5
638,2017-07-31,10077.1
639,2017-08-01,10114.65
640,2017-08-02,10081.5
641,2017-08-03,10013.65
642,2017-08-04,10066.4
643,2017-08-07,10057.4
644,2017-08-08,9978.55
645,2017-08-09,9908.05
646,2017-08-10,9820.25
647,2017-08-11,9710.8
648,2017-08-14,9794.15
649,2017-08-16,9897.3
650,2017-08-17,9904.15
651,2017-08-18,9837.4
652,2017-08-21,9754.35
653,2017-08-22,9765.55
654,2017-08-23,9852.5
655,2017-08-24,9857.05
656,2017-08-28,9912.8
657,2017-08-29,9796.05
658,2017-08-30,9884.4
659,2017-08-31,9917.9
660,2017-09-01,9974.4
661,2017-09-04,9912.85
662,2017-09-05,9952.2
663,2017-09-06,9916.2
664,2017-09-07,9929.9
665,2017-09-08,9934.8
666,2017-09-11,10006.05
667,2017-09-12,10093.05
668,2017-09-13,10079.3
669,2017-09-14,10086.6
670,2017-09-15,10085.4
671,2017-09-18,10153.1
672,2017-09-19,10147.55
673,2017-09-20,10141.15
674,2017-09-21,10121.9
675,2017-09-22,9964.4
676,2017-09-25,9872.6
677,2017-09-26,9871.5
678,2017-09-27,9735.75
679,2017-09-28,9768.95
680,2017-09-29,9788.6
681,2017-10-03,9859.5
682,2017-10-04,9914.9
683,2017-10-05,9888.7
684,2017-10-06,9979.7
685,2017-10-09,9988.75
686,2017-10-10,10016.95
687,2017-10-11,9984.8
688,2017-10-12,10096.4
689,2017-10-13,10167.45
690,2017-10-16,10230.85
691,2017-10-17,10234.45
692,2017-10-18,10210.85
693,2017-10-19,10146.55
694,2017-10-23,10184.85
695,2017-10-24,10207.7
696,2017-10-25,10295.35
697,2017-10-26,10343.8
698,2017-10-27,10323.05
699,2017-10-30,10363.65
700,2017-10-31,10335.3
701,2017-11-01,10440.5
702,2017-11-02,10423.8
703,2017-11-03,10452.5
704,2017-11-06,10451.8
705,2017-11-07,10350.15
706,2017-11-08,10303.15
707,2017-11-09,10308.95
708,2017-11-10,10321.75
709,2017-11-13,10224.95
710,2017-11-14,10186.6
711,2017-11-15,10118.05
712,2017-11-16,10214.75
713,2017-11-17,10283.6
714,2017-11-20,10298.75
715,2017-11-21,10326.9
716,2017-11-22,10342.3
717,2017-11-23,10348.75
718,2017-11-24,10389.7
719,2017-11-27,10399.55
720,2017-11-28,10370.25
721,2017-11-29,10361.3
722,2017-11-30,10226.55
723,2017-12-01,10121.8
724,2017-12-04,10127.75
725,2017-12-05,10118.25
726,2017-12-06,10044.1
727,2017-12-07,10166.7
728,2017-12-08,10265.65
729,2017-12-11,10322.25
730,2017-12-12,10240.15
731,2017-12-13,10192.95
732,2017-12-14,10252.1
733,2017-12-15,10333.25
734,2017-12-18,10388.75
735,2017-12-19,10463.2
736,2017-12-20,10444.2
737,2017-12-21,10440.3
738,2017-12-22,10493.0
739,2017-12-26,10531.5
740,2017-12-27,10490.75
741,2017-12-28,10477.9
742,2017-12-29,10530.7
743,2018-01-01,10435.55
744,2018-01-02,10442.2
745,2018-01-03,10443.2
746,2018-01-04,10504.8
747,2018-01-05,10558.85
748,2018-01-08,10623.6
749,2018-01-09,10637.0
750,2018-01-10,10632.2
751,2018-01-11,10651.2
752,2018-01-12,10681.25
753,2018-01-15,10741.55
754,2018-01-16,10700.45
755,2018-01-17,10788.55
